Coordinate,Lat,long,Diga,Fiume,Lago,Comune,Provincia,Capacita,Utilizzazione,Gestore
"37.83622226913473, 14.562872780452834",37.83622227,14.56287278,Àncipa,Troina,Lago Àncipa,Cesarò,ME,"30,40",Potabile - Irriguo - Elettrico,E.N.E.L.
"37.6344907735086, 13.065183892983589",37.63449077,13.06518389,Arancio,Carboj,Lago Arancio,Sambuca di Sicilia,AG,"34,80",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.582494138000314, 13.420304304533298",37.58249414,13.4203043,Castello,Magazzolo,Lago di Magazzolo,Bivona,AG,"21,00",Potabile - Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.19351696828118, 14.35277772658952",37.19351697,14.35277773,Cimia,Cimia,Bacino Cimia,Mazzarino,CL,"10,00",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.15866905176196, 14.155129889961957",37.15866905,14.15512989,Comunelli,Comunelli,Lago Comunelli,Butera,CL,"8,00",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.19543380542971, 14.293770507280197",37.19543381,14.29377051,Disueri,Gela,Lago Disueri,Mazzarino,CL,"23,60",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.6626850721957, 13.551505700438739",37.66268507,13.5515057,Fanaco,Platani,Lago Fanaco,Castronovo di Sicilia,PA,"20,70",Potabile,Siciliacque
"37.26049834106852, 13.726154776144734",37.26049834,13.72615478,Furore,Burraito,Diga Furore,Naro,AG,"7,00",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.79312393520208, 13.098184652140981",37.79312394,13.09818465,Garcia (M. Francese),Belice Sinistro,Diga Garcia,Monreale,PA,"80,00",Potabile - Irriguo,Consorzio di Bonifica 2 Palermo
"37.611633046960705, 12.65128552366963",37.61163305,12.65128552,Gorgo Lago,Fosso Gurra,Riserva Naturale Lago Preola e Gorghi Tondi,Mazzara del Vallo,Tp,"3,41",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.32491447802334, 14.947389964388442",37.32491448,14.94738996,Lentini,Fuori Alveo,Lago di Lentini,Lentini,SR,"134,55",Irriguo - Industriale,Dipartimento dell'acqua e dei rifiuti
"37.67156681214582, 13.468441004937336",37.67156681,13.468441,Leone,Verdura,Diga Pian del Leone,Castronovo di Sicilia,PA,"4,19",Potabile - Elettrico,Siciliacque
"37.60482215888663, 14.34631420540615",37.60482216,14.34631421,Nicoletti,Crisà,Nicoletti,Enna,EN,"20,20",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.448800804657054, 14.572173733099481",37.4488008,14.57217373,Ogliastro (Don Sturzo),Gornalunga,Lago Nicoletti,Raddusa,CT,"110,00",Irriguo,Consorzio di Bonifica 7 Caltagirone
"37.4050480841272, 14.286603950313363",37.40504808,14.28660395,Olivo,Olivo,Lago Olivo,Piazza Armerina,EN,"15,00",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.9714491965346, 12.593899318903167",37.9714492,12.59389932,Paceco,Baiata,Invaso diga Baita,Paceco,TP,"6,70",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.96700955973354, 13.290807859280493",37.96700956,13.29080786,Piana Degli Albanesi,Belice Destro,Lago di Piana degli Albanesi,Piana degli Albanesi,PA,"32,80",Potabile - Irriguo - Elettrico,E.N.E.L
"38.01103709494084, 13.05613472955368",38.01103709,13.05613473,Poma,Jato,Lago Poma,Partinico,PA,"72,50",Potabile - Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.6740368414731, 14.610613489858828",37.67403684,14.61061349,Pozzillo,Salso (Simeto),Lago Pozzillo,Regalbuto,EN,"150,50",Irriguo - Elettrico,E.N.E.L.
"37.72875920191161, 13.404995690976383",37.7287592,13.40499569,Prizzi,Raia,Lago di Prizzi,Prizzi,PA,"9,20",Potabile - Irriguo - Elettrico,E.N.E.L.
"37.12888413947258, 14.699118889211253",37.12888414,14.69911889,Ragoleto,Dirillo,Lago Dirillo,Licodia Eubea,CT,"20,10",Industriale - Potabile - Irriguo,Eni - Raffineria Di Gela
"37.96033571030573, 13.654664681397737",37.96033571,13.65466468,Rosamarina,S. Leonardo,Lago Rosamarina,Caccamo,PA,"100,00",Potabile - Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.882618539054356, 12.718346939129798",37.88261854,12.71834694,Rubino,Birgi,Lago Rubino,Trapani,TP,"11,50",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.30383372051556, 13.757038285106866",37.30383372,13.75703829,San Giovanni,Naro,Lago San Giovanni,Naro,AG,"16,30",Irriguo,Dipartimento dell'acqua e dei rifiuti
"36.97097214986951, 14.777525424540842",36.97097215,14.77752542,Santa Rosalia,Irminio,Lago Santa Rosalia,Ragusa,RG,"20,00",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.92524516653996, 13.36939685095602",37.92524517,13.36939685,Scanzano,Eleuterio,Lago dello scanzano,Monreale,PA,"18,00",Potabile - Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.60020877629379, 14.594737591228052",37.60020878,14.59473759,Sciaguana,Sciaguana,Lago Sciaguana,Agira,EN,"11,35",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.70765562563731, 12.762354264555682",37.70765563,12.76235426,Trinità,Delia,Lago della Trinità,Castelvetrano,TP,"18,00",Irriguo,Dipartimento dell'acqua e dei rifiuti
"37.85079982448156, 12.626218773181726",37.85079982,12.62621877,Zaffarana,Zaffarana,Lago Zaffarana,Trapani,TP,"0,90",Irriguo,Dipartimento dell'acqua e dei rifiuti
