PRO_COM_T,COMUNE,provincia,sigla,riduzione,area_kmq,pop_2024
081001,Alcamo,Trapani,TP,10 - 20,130.89,44683
081002,Buseto Palizzolo,Trapani,TP,10 - 20,72.81,2758
081003,Calatafimi-Segesta,Trapani,TP,10 - 20,154.86,6056
081005,Castellammare del Golfo,Trapani,TP,10 - 20,127.32,14660
081007,Custonaci,Trapani,TP,10 - 20,69.9,5268
081008,Erice,Trapani,TP,10 - 20,47.34,26002
081010,Gibellina,Trapani,TP,10 - 20,46.57,3684
081013,Paceco,Trapani,TP,10 - 20,58.01,10676
081015,Partanna,Trapani,TP,10 - 20,82.73,9822
081016,Poggioreale,Trapani,TP,10 - 20,37.46,1291
081017,Salaparuta,Trapani,TP,10 - 20,41.42,1547
081018,Salemi,Trapani,TP,10 - 20,182.42,9974
081019,Santa Ninfa,Trapani,TP,10 - 20,60.94,4728
081021,Trapani,Trapani,TP,10 - 20,181.04,55218
081022,Valderice,Trapani,TP,10 - 20,52.96,11389
081023,Vita,Trapani,TP,10 - 20,9.1,1761
081025,Misiliscemi,Trapani,TP,10 - 20,92.09,8417
082001,Alia,Palermo,PA,20 - 30,45.97,3242
082002,Alimena,Palermo,PA,0 - 10,59.7,1789
082003,Aliminusa,Palermo,PA,20 - 30,13.68,1021
082006,Bagheria,Palermo,PA,0 - 10,29.84,53021
082010,Bisacquino,Palermo,PA,20 - 30,64.97,4059
082011,Bolognetta,Palermo,PA,0 - 10,27.63,4115
082012,Bompietro,Palermo,PA,0 - 10,42.41,1153
082014,Caccamo,Palermo,PA,20 - 30,188.23,7612
082016,Campofelice di Fitalia,Palermo,PA,0 - 10,35.46,436
082019,Camporeale,Palermo,PA,10 - 20,38.72,2931
082020,Capaci,Palermo,PA,0 - 10,6.12,11348
082021,Carini,Palermo,PA,20 - 30,76.59,40150
082023,Casteldaccia,Palermo,PA,0 - 10,33.92,11652
082024,Castellana Sicula,Palermo,PA,0 - 10,73.2,2973
082026,Cefalà Diana,Palermo,PA,0 - 10,9.06,976
082029,Chiusa Sclafani,Palermo,PA,10 - 20,57.55,2472
082032,Collesano,Palermo,PA,30 - 70,108.16,3616
082034,Corleone,Palermo,PA,0 - 10,229.45,10276
082036,Gangi,Palermo,PA,20 - 30,127.46,6013
082039,Giuliana,Palermo,PA,10 - 20,24.14,1672
082040,Godrano,Palermo,PA,20 - 30,39.2,1019
082043,Isola delle Femmine,Palermo,PA,0 - 10,3.57,7039
082045,Lercara Friddi,Palermo,PA,20 - 30,37.49,6113
082046,Marineo,Palermo,PA,0 - 10,33.22,6063
082047,Mezzojuso,Palermo,PA,20 - 30,49.25,2578
082053,Palermo,Palermo,PA,0 - 10,160.59,628894
082054,Partinico,Palermo,PA,10 - 20,108.06,30746
