cod,diga,data,volume
dig-26,Scanzano,01/01/2010,8.43
dig-26,Scanzano,01/02/2010,9.78
dig-26,Scanzano,02/03/2010,8.67
dig-26,Scanzano,01/04/2010,8.25
dig-26,Scanzano,01/05/2010,7.14
dig-26,Scanzano,01/06/2010,6.26
dig-26,Scanzano,01/07/2010,5.62
dig-26,Scanzano,01/08/2010,5.09
dig-26,Scanzano,02/09/2010,4.58
dig-26,Scanzano,01/10/2010,4.22
dig-26,Scanzano,01/11/2010,3.91
dig-26,Scanzano,02/12/2010,3.47
dig-26,Scanzano,01/01/2011,3.12
dig-26,Scanzano,01/02/2011,3.47
dig-26,Scanzano,02/03/2011,8.03
dig-26,Scanzano,01/04/2011,8.54
dig-26,Scanzano,01/05/2011,8.07
dig-26,Scanzano,01/06/2011,7.65
dig-26,Scanzano,01/07/2011,6.64
dig-26,Scanzano,01/08/2011,5.87
dig-26,Scanzano,02/09/2011,4.97
dig-26,Scanzano,01/10/2011,4.20
dig-26,Scanzano,01/11/2011,3.45
dig-26,Scanzano,02/12/2011,2.43
dig-17,Piana Degli Albanesi,01/01/2010,25.43
dig-17,Piana Degli Albanesi,01/02/2010,28.87
dig-17,Piana Degli Albanesi,02/03/2010,24.64
dig-17,Piana Degli Albanesi,01/04/2010,24.94
dig-17,Piana Degli Albanesi,01/05/2010,24.74
dig-17,Piana Degli Albanesi,01/06/2010,23.69
dig-17,Piana Degli Albanesi,01/07/2010,21.68
dig-17,Piana Degli Albanesi,01/08/2010,19.49
dig-17,Piana Degli Albanesi,02/09/2010,17.86
dig-17,Piana Degli Albanesi,01/10/2010,17.47
dig-17,Piana Degli Albanesi,01/11/2010,17.91
dig-17,Piana Degli Albanesi,02/12/2010,18.78
dig-17,Piana Degli Albanesi,01/01/2011,18.66
dig-17,Piana Degli Albanesi,01/02/2011,18.89
dig-17,Piana Degli Albanesi,02/03/2011,22.05
dig-17,Piana Degli Albanesi,01/04/2011,22.64
dig-17,Piana Degli Albanesi,01/05/2011,21.38
dig-17,Piana Degli Albanesi,01/06/2011,20.62
dig-17,Piana Degli Albanesi,01/07/2011,18.73
dig-17,Piana Degli Albanesi,01/08/2011,16.16
dig-17,Piana Degli Albanesi,02/09/2011,14.22
dig-17,Piana Degli Albanesi,01/10/2011,12.26
dig-17,Piana Degli Albanesi,01/11/2011,11.62
dig-17,Piana Degli Albanesi,02/12/2011,11.27
dig-18,Poma,01/01/2010,69.05
dig-18,Poma,01/02/2010,68.83
dig-18,Poma,02/03/2010,65.31
dig-18,Poma,01/04/2010,68.87
dig-18,Poma,01/05/2010,68.18
dig-18,Poma,01/06/2010,66.02
dig-18,Poma,01/07/2010,63.48
dig-18,Poma,01/08/2010,57.80
dig-18,Poma,02/09/2010,51.64
dig-18,Poma,01/10/2010,49.13
dig-18,Poma,01/11/2010,49.54
dig-18,Poma,02/12/2010,49.49
dig-18,Poma,01/01/2011,49.20
dig-18,Poma,01/02/2011,49.71
dig-18,Poma,02/03/2011,58.36
dig-18,Poma,01/04/2011,63.48
dig-18,Poma,01/05/2011,62.29
dig-18,Poma,01/06/2011,72.56
dig-18,Poma,01/07/2011,59.00
dig-18,Poma,01/08/2011,52.58
dig-18,Poma,02/09/2011,47.24
dig-18,Poma,01/10/2011,43.89
dig-18,Poma,01/11/2011,42.16
dig-18,Poma,02/12/2011,39.91
dig-02,Arancio,01/01/2010,27.04
dig-02,Arancio,01/02/2010,27.03
dig-02,Arancio,02/03/2010,25.70
dig-02,Arancio,01/04/2010,27.34
dig-02,Arancio,01/05/2010,28.30
dig-02,Arancio,01/06/2010,27.97
dig-02,Arancio,01/07/2010,27.22
dig-02,Arancio,01/08/2010,25.99
dig-02,Arancio,02/09/2010,21.77
dig-02,Arancio,01/10/2010,24.01
dig-02,Arancio,01/11/2010,24.43
dig-02,Arancio,02/12/2010,24.68
dig-02,Arancio,01/01/2011,25.05
dig-02,Arancio,01/02/2011,25.78
dig-02,Arancio,02/03/2011,28.12
dig-02,Arancio,01/04/2011,27.04
dig-02,Arancio,01/05/2011,27.70
dig-02,Arancio,01/06/2011,27.37
dig-02,Arancio,01/07/2011,28.03
dig-02,Arancio,01/08/2011,27.22
dig-02,Arancio,02/09/2011,26.45
dig-02,Arancio,01/10/2011,25.56
dig-02,Arancio,01/11/2011,23.52
dig-02,Arancio,02/12/2011,22.82
dig-13,Nicoletti,01/01/2010,17.06
dig-13,Nicoletti,01/02/2010,16.42
dig-13,Nicoletti,02/03/2010,16.06
dig-13,Nicoletti,01/04/2010,16.18
dig-13,Nicoletti,01/05/2010,16.09
dig-13,Nicoletti,01/06/2010,15.80
dig-13,Nicoletti,01/07/2010,15.34
dig-13,Nicoletti,01/08/2010,14.84
dig-13,Nicoletti,02/09/2010,14.34
dig-13,Nicoletti,01/10/2010,14.05
dig-13,Nicoletti,01/11/2010,14.00
dig-13,Nicoletti,02/12/2010,13.89
dig-13,Nicoletti,01/01/2011,13.80
dig-13,Nicoletti,01/02/2011,14.24
dig-13,Nicoletti,02/03/2011,14.16
dig-13,Nicoletti,01/04/2011,15.27
dig-13,Nicoletti,01/05/2011,15.16
dig-13,Nicoletti,01/06/2011,15.10
dig-13,Nicoletti,01/07/2011,14.72
dig-13,Nicoletti,01/08/2011,14.16
dig-13,Nicoletti,02/09/2011,13.73
dig-13,Nicoletti,01/10/2011,13.41
dig-13,Nicoletti,01/11/2011,13.37
dig-13,Nicoletti,02/12/2011,13.34
dig-25,Santa Rosalia,01/01/2010,17.34
dig-25,Santa Rosalia,01/02/2010,20.13
dig-25,Santa Rosalia,02/03/2010,20.09
dig-25,Santa Rosalia,01/04/2010,20.07
dig-25,Santa Rosalia,01/05/2010,20.03
dig-25,Santa Rosalia,01/06/2010,19.91
dig-25,Santa Rosalia,01/07/2010,19.73
dig-25,Santa Rosalia,01/08/2010,18.45
dig-25,Santa Rosalia,02/09/2010,17.19
dig-25,Santa Rosalia,01/10/2010,16.29
dig-25,Santa Rosalia,01/11/2010,17.02
dig-25,Santa Rosalia,02/12/2010,19.15
dig-25,Santa Rosalia,01/01/2011,19.7
dig-25,Santa Rosalia,01/02/2011,20.11
dig-25,Santa Rosalia,02/03/2011,20.55
