nome,latitudine,longitudine,n__arch_,utd,regione,provincia,comune,corso_d_acqua,tipologia,altezza_ndt_2014__m_,altezza_dm_marzo_82__m_,vol__di_invaso__Mmc_,quota_max_di_reg___m_slm_,uso_prevalente,anno_inizio_lavori,anno_fine_lavori,indirizzo_google_maps
Corongiu 2,39.312806,9.283889,0087A,Cagliari,Sardegna,CA,Sinnai,Rio Bau Filixi - Rio Corr 'e Cerbu,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),19.50,21.30,0.37,154.94,Potabile,1913,1915,https://goo.gl/maps/ZDY7fp76gzVqXqHD6
Corongiu 3,39.315861,9.288667,0087B,Cagliari,Sardegna,CA,Sinnai,Rio Bau Filixi,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),41.00,44.75,4.30,201.00,Potabile,1931,1937,https://goo.gl/maps/ZbgCAjdc6RLExSyx8
Bunnari Bassa,40.716601,8.635917,0088_,Cagliari,Sardegna,SS,Sassari,Rio Bunnari,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),27.50,31.39,0.45,286.50,Potabile,1874,1879,https://goo.gl/maps/xdaXAVFdMsCmKVTr8
Muzzone,40.792556,9.025306,0091_,Cagliari,Sardegna,SS,Oschiri,Coghinas,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),54.00,58.00,258.74,164.00,Idroelettrico,1924,1926,https://goo.gl/maps/ZDsd4ocWvdr23493A
Bau Muggeris,39.951917,9.428250,0114A,Cagliari,Sardegna,NU,Villagrande Strisaili,Flumendosa,A gravità a speroni con vani interni (a.1.2.),58.70,63.00,61.43,800.00,Idroelettrico,1948,1949,https://goo.gl/maps/VSavegmfza4xzLpa6
Bau Mela,39.991972,9.415694,0114B,Cagliari,Sardegna,NU,Villagrande Strisaili,Rio Bau Mela,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),25.50,28.00,0.24,806.75,Idroelettrico,1942,1948,https://goo.gl/maps/xtq6sqsFaE9kTmZY8
Sa Teula,39.958972,9.533917,0114C,Cagliari,Sardegna,NU,Villagrande Strisaili,Rio Sa Teula,A gravità ordinaria in calcestruzzo (a.1.1.),21.69,26.19,0.11,239.50,Idroelettrico,1942,1949,https://goo.gl/maps/Ts1gWtSYZFrXjEh69
Bau Mandara,39.982500,9.425222,0114D,Cagliari,Sardegna,NU,Villagrande Strisaili,Rio Bau Mandara,A cupola (a.2.3.),19.25,24.30,0.31,803.29,Idroelettrico,1942,1949,https://goo.gl/maps/DjKKzZJn3RFoMmTy8
Bunnari Alta,40.718806,8.641500,0155_,Cagliari,Sardegna,SS,Sassari,Rio Bunnari,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),27.60,29.39,1.20,312.18,Potabile,1930,1932,https://goo.gl/maps/8FUyr3QudfXitL477
Santa Vittoria,39.966917,8.736417,0166_,Cagliari,Sardegna,OR,Villanova Truschedu,Tirso,Traversa in calcestruzzo (c.),12.00,15.25,1.48,17.30,Irriguo,1929,1930,https://goo.gl/maps/sCJZnXa6MihAcuMZ8
Mogoro,39.663861,8.758806,0193_,Cagliari,Sardegna,OR,Mogoro,Rio Mogoro,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),21.50,29.80,10.50,66.00,Laminazione,1932,1933,https://goo.gl/maps/T1JdTFf4QwtbA6xcA
Benzone,40.131389,9.027528,0198_,Cagliari,Sardegna,NU,Olzai,Taloro,A gravità ordinaria in calcestruzzo (a.1.1.),18.80,21.00,2.40,151.50,Idroelettrico,1962,1962,https://goo.gl/maps/TaNEGPGcQST2B4Vr5
Cucchinadorza,40.131333,9.130611,0198A,Cagliari,Sardegna,NU,Teti - Ollolai,Taloro,A gravità ordinaria in calcestruzzo (a.1.1.),45.50,51.50,18.80,348.00,Idroelettrico,1961,1962,https://goo.gl/maps/FV8euiVHgVgdqJoy9
Gusana,40.133694,9.187917,0198B,Cagliari,Sardegna,NU,Gavoi,Taloro,A cupola (a.2.3.),81.50,88.00,60.25,642.50,Idroelettrico,1959,1961,https://goo.gl/maps/mucL9USJh8z7T1o7A
La Maddalena,41.231833,9.427722,0258_,Cagliari,Sardegna,SS,La Maddalena,Fosso Vena Lunga e Fosso Gambino,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),16.85,23.51,0.55,16.00,Potabile,1931,1935,https://goo.gl/maps/ekDhQb4V6G6v2Tu37
Monte Pranu,39.093222,8.588639,0341_,Cagliari,Sardegna,CA,Villaperuccio - Tratalias,Rio Palmas,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),32.45,34.50,50.00,43.50,Irriguo,1947,1950,https://goo.gl/maps/fyfH8R58gFLMLkVWA
Govossai,40.130194,9.287889,0469_,Cagliari,Sardegna,NU,Fonni,Rio Govossai,A gravità ordinaria in muratura di pietrame con malta (a.1.1.),33.11,35.39,3.60,918.12,Potabile,1947,1955,https://goo.gl/maps/yrwLuc4YwGzuB63d8
Casteldoria,40.889861,8.895833,0539_,Cagliari,Sardegna,SS,Santa Maria Coghinas,Coghinas,A gravità ordinaria in calcestruzzo (a.1.1.),26.60,35.50,8.20,26.00,Idroelettrico,1949,1963,https://goo.gl/maps/BPcfsh9rSENcaoFe7
Monte Su Rei,39.607167,9.259306,0572_,Cagliari,Sardegna,CA,Siurgus Donigala,Rio Mulargia,Ad arco gravità (a.2.2.),94.00,99.00,332.00,258.00,Irriguo,1951,1958,https://goo.gl/maps/qcSqcJ4KeMqr53PY9
Donegani,39.542028,8.549722,0579_,Cagliari,Sardegna,CA,Arbus,Rio Tuvu Mannu,A gravità ordinaria in calcestruzzo (a.1.1.),28.00,34.00,0.31,308.89,Potabile,1949,1950,https://goo.gl/maps/HdbfbsnChh5paJ7m9
Bidighinzu,40.556972,8.662278,0602_,Cagliari,Sardegna,SS,Bessude,Rio Bidighinzu,A gravità ordinaria in calcestruzzo (a.1.1.),39.50,43.00,12.55,330.00,Potabile,1952,1959,https://goo.gl/maps/t8E9JJfPPNpk2AdMA
Liscia,41.014889,9.274583,0635_,Cagliari,Sardegna,SS,Luras,Liscia,A gravità a speroni con vani interni (a.1.2.),65.00,69.00,105.12,176.50,Potabile,1958,1962,https://goo.gl/maps/sHS8sYkyaxSR2fTW7
Monteponi,39.334417,8.494361,0641_,Cagliari,Sardegna,CA,Iglesias,Rio Bellicai,Ad arco gravità (a.2.2.),30.00,33.50,0.98,365.50,Irriguo,1953,1954,https://goo.gl/maps/1UFPqna2C6A4x2Gj8
Nuraghe Arrubiu,39.662694,9.311611,0649_,Cagliari,Sardegna,NU,Nurri,Flumendosa,Ad arco gravità (a.2.2.),112.00,119.00,299.26,267.00,Irriguo,1953,1959,https://goo.gl/maps/XNSf9FU1uWqeeN6y6
Cuga,40.611583,8.449861,0653_,Cagliari,Sardegna,SS,Uri,Rio Cuga,Di pietrame con manto (b.3.),45.39,54.50,34.92,113.00,Irriguo,1956,1974,https://goo.gl/maps/xkjJWc9otUGroQ528
Sos Canales,40.553500,9.313722,0662_,Cagliari,Sardegna,SS,Budduso',Tirso,A gravità a speroni pieni (a.1.2.),47.00,51.00,4.34,709.00,Potabile,1956,1959,https://goo.gl/maps/aye3hFow2RKY7Qg87
Bosa - Monte Crispu,40.333083,8.535278,0668_,Cagliari,Sardegna,OR,Bosa,Temo,Ad arco gravità (a.2.2.),57.00,62.00,28.85,68.15,Laminazione,1956,1961,https://goo.gl/maps/Be3AaxwMgYBipqr36
Maccheronis (dati a fine lavori),40.639639,9.606778,0688_,Cagliari,Sardegna,NU,Torpe',Posada,A gravità ordinaria in calcestruzzo (a.1.1.),32.00,47.00,32.29,44.79,Irriguo,1956,1960,https://goo.gl/maps/pnGXGN8zsfA7aGVf7
Assemini - Gutturu Mannu,39.162389,8.908472,0702_,Cagliari,Sardegna,CA,Uta - Assemini,Rio Gutturu Mannu,A gravità ordinaria in calcestruzzo (a.1.1.),20.50,21.50,0.20,151.00,Irriguo,1956,1957,https://goo.gl/maps/N6KoTLPxL6pfgfSYA
Punta Gennarta,39.333444,8.546833,0745_,Cagliari,Sardegna,CA,Iglesias,Rio Canonica,A cupola (a.2.3.),57.00,60.50,12.60,255.00,Irriguo,1959,1964,https://goo.gl/maps/nHzWMF8jAd61cwP5A
Rio Leni,39.418611,8.717028,0921_,Cagliari,Sardegna,CA,Villacidro,Rio Leni e Rio Bidda Scema,Di terra con manto (b.3.),54.30,54.89,20.00,243.24,Irriguo,1976,1987,https://goo.gl/maps/uPa69XMjumERBmCT6
Sa Forada De S'Acqua,39.537639,8.971333,0935_,Cagliari,Sardegna,CA,Furtei,Rio Sa Forada,Di pietrame con manto (b.3.),27.00,27.00,1.41,189.00,Irriguo,1960,1962,https://goo.gl/maps/CKGMd4aqNHZRPQ4w9
Coddu de Sa Cresia,39.111250,9.003306,0953_,Cagliari,Sardegna,CA,Sarroch,Rio Flumini de Binu,Di terra omogenea (b.1.),17.52,17.52,0.25,35.00,Irriguo,,,https://goo.gl/maps/UB6EfLB7H4fixdGv8
Rio Torrei,40.057944,9.202278,1005_,Cagliari,Sardegna,NU,Tiana,Rio Torrei,A gravità ordinaria in calcestruzzo (a.1.1.),43.00,47.00,0.96,866.50,Potabile,1970,1976,https://goo.gl/maps/BxJQFwP89jAdLcf9A
Monte Lerno,40.591000,9.151861,1006_,Cagliari,Sardegna,SS,Pattada,Rio Mannu di Pattada,A gravità ordinaria in calcestruzzo (a.1.1.),61.50,67.50,76.00,560.50,Irriguo,1971,1980,https://goo.gl/maps/zwXejDobezMu8gQFA
