PNRR misura,decreto,allegato,Soggetto proponente,Soggetto attuatore,Titolo intervento,Costo intervento,Finanziamento ammissibile PNRR,CUP
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,1,,AMAP S.p.A.,Potabilizzatore Presidiana,25000000,23950000,D89B20000000008
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,1,,Siciliacque S.p.A,"Interventi per il potenziamento del sistema idrico della Sicilia sud-occidentale: Volumi compenso sistemi Garcia, Montescuro Ovest, Favara di Burgio",12799005,10000000,C41B21006990001
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,2,,AMAP S.p.A,Potabilizzatore Jato - Rifacimento,24400000,23446000,D89B20000010008
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,2,,Siciliacque S.p.A.,Raddoppio del II tratto dell'acquedotto Garcia dalla vasca di disconnessione al potabilizzatore Garcia di Sambuca di Sicilia e revamping della stazione di sollevamento Garcia,8412100,6895163.67,C61B12000670001
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,2,,Siciliacque S.p.A.,"Interventi per il potenziamento del sistema idrico della Sicilia sud-occidentale: Adduzione da Montescuro Ovest per Mazara, Petrosino, Marsala",62200000,54080153.22,C21B21012820001
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,3,,ENEL GREEN POWER ITALIA SRL,Realizzazione Nuovo Scarico di Fondo della Diga Pozzillo,25000000,25000000,E53E18001100001
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,3,,Regione Siciliana,"Adduttore alle zone irrigue dipendenti dal serbatoio ""Castello"" - 1° tronco dalla Diga di Castello alla diramazione Tavernola - progetto di completamento",8250000,8250000,G98H19000020001
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,3,,Regione Siciliana,Diga Rosamarina - Lavori di adeguamento del sistema di tenuta e drenaggio della diga e il miglioramento delle opere utili alla gestione dell'infrastruttura,8000000,8000000,G49E18000010001
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,3,,Regione Siciliana,Diga Olivo - Manutenzione straordinaria scarichi e sistema di tenuta,20000000,20000000,G39E18000020001
4.1 - M2C4-I.4.1 Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico,DM 517_2021,3,,Regione Siciliana,Diga Pietrarossa - Interventi per il completamento della diga,60000000,60000000,G95E18000180001
