id,diga,narch,sub,s1,s2,uso_prevalente,regione,provincia,concessionario
1,ANCIPA,527,_,NO,SC,IDROELETTRICO,SICILIA,EN,ENEL PRODUZIONE S.P.A.
2,ARANCIO,404,_,NO,LI,IRRIGUO,SICILIA,AG,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
3,CANNAMASCA,1433,_,CO,LS,IRRIGUO,SICILIA,AG,CONSORZIO DI BONIFICA 3 AGRIGENTO
4,CASTELLO,1427,_,NO,LI,IRRIGUO,SICILIA,AG,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
5,CIMIA,1337,A,SP,LO,IRRIGUO,SICILIA,CL,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
6,COMUNELLI,903,_,FE,FP,IRRIGUO,SICILIA,CL,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
7,CUBA,1072,_,FE,DL,NESSUN UTILIZZO ATTUALE,SICILIA,EN,
8,DISUERI,208,_,SP,LO,IRRIGUO,SICILIA,CL,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
9,DON STURZO,646,_,NO,LI,IRRIGUO,SICILIA,EN,CONSORZIO DI BONIFICA 7 CALTAGIRONE
10,FANACO,442,_,NO,SC,POTABILE,SICILIA,PA,SICILIACQUE S.P.A.
11,FIUMARA GRANDE,1235,A,NO,SC,INDUSTRIALE,SICILIA,SR,PRIOLO SERVIZI SOCIETÀ CONSORTILE A R.L.
12,FURORE,1056,_,SP,LO,IRRIGUO,SICILIA,AG,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
13,GAMMAUTA,365,_,NO,SC,IDROELETTRICO,SICILIA,PA,ENEL PRODUZIONE S.P.A.
14,GARCIA,1377,_,SP,LO,IRRIGUO,SICILIA,PA,CONSORZIO DI BONIFICA 2 PALERMO
15,GIBBESI,1402,_,FE,FP,IRRIGUO,SICILIA,AG,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
16,GUADALAMI MONTE,824,_,NO,SC,IDROELETTRICO,SICILIA,PA,ENEL PRODUZIONE S.P.A.
17,GUADALAMI VALLE,824,A,NO,SC,IDROELETTRICO,SICILIA,PA,ENEL PRODUZIONE S.P.A.
18,LAGHETTO GORGO,1249,_,SP,LO,IRRIGUO,SICILIA,AG,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
19,LENTINI,1318,_,NO,LI,INDUSTRIALE,SICILIA,SR,REGIONE SICILIANA - ASSESS. REG. ENERGIA E SERVIZI PUBBL. UTILITÀ - DIPART. REG. ACQUA E RIFIUTI
20,LICODIA EUBEA,739,_,NO,LI,INDUSTRIALE,SICILIA,CT,BIORAFFINERIA DI GELA S.P.A.
