cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-01-24,939.00,30410000.00,941.06,18066913.07,16066913.07
dig-03,Castello,2025-01-24,292.65,19493500.00,278.92,5732400.00,2204479.00
dig-07,Fanaco,2025-01-24,677.50,20700000.00,654.85,1868463.00,1282146.00
dig-09,Garcia (M. Francese),2025-01-24,190.00,61000000.00,174.75,12625000.00,6625000.00
dig-17,Piana Degli Albanesi,2025-01-24,609.00,25000000.00,600.95,7309406.89,5309406.89
dig-12,Leone,2025-01-24,828.00,4150000.00,823.97,2288000.00,1038000.00
dig-18,Poma,2025-01-24,195.60,72300000.00,179.37,19897500.00,11853764.00
dig-20,Prizzi,2025-01-24,638.00,9250000.00,629.49,2339735.15,839735.15
dig-21,Ragoleto,2025-01-24,326.00,17160198.00,311.45,5385731.00,1885443.00
dig-22,Rosamarina,2025-01-24,164.00,73034250.00,140.51,14133717.71,5239761.71
dig-25,Santa Rosalia,2025-01-24,378.05,21080000.00,364.71,7869970.20,2876414.20
dig-26,Scanzano,2025-01-24,517.00,7312775.00,515.36,5906341.74,4881675.74
