cod,diga,data,volume
dig-01,Àncipa,2025-04-01,27.05
dig-02,Arancio,2025-04-01,8.76
dig-03,Castello,2025-04-01,9.57
dig-04,Cimia,2025-04-01,1.20
dig-05,Comunelli,2025-04-01,0.09
dig-06,Disueri,2025-04-01,0.42
dig-14,Ogliastro (Don Sturzo),2025-04-01,39.69
dig-07,Fanaco,2025-04-01,3.91
dig-08,Furore,2025-04-01,1.62
dig-31,Gammauta,2025-04-01,0.27
dig-09,Garcia (M. Francese),2025-04-01,19.02
dig-10,Gorgo Lago,2025-04-01,0.49
dig-11,Lentini,2025-04-01,100.44
dig-13,Nicoletti,2025-04-01,4.71
dig-15,Olivo,2025-04-01,4.35
dig-16,Paceco,2025-04-01,3.14
dig-17,Piana Degli Albanesi,2025-04-01,10.77
dig-12,Leone,2025-04-01,3.52
dig-18,Poma,2025-04-01,28.39
dig-19,Pozzillo,2025-04-01,32.30
dig-20,Prizzi,2025-04-01,4.07
dig-21,Ragoleto,2025-04-01,8.82
dig-22,Rosamarina,2025-04-01,20.56
dig-23,Rubino,2025-04-01,4.33
dig-24,San Giovanni,2025-04-01,8.21
dig-25,Santa Rosalia,2025-04-01,12.93
dig-26,Scanzano,2025-04-01,7.27
dig-27,Sciaguana,2025-04-01,5.16
dig-28,Trinità,2025-04-01,3.62
dig-29,Zaffarana,2025-04-01,0.07
