cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-07-04,950.00,30410000.00,946.65,24022651.51,22022651.51
dig-03,Castello,2025-07-04,292.65,19493500.00,281.99,7985700.00,4425579.75
dig-07,Fanaco,2025-07-04,677.50,20700000.00,661.92,4655714.00,4069397.00
dig-09,Garcia (M. Francese),2025-07-04,190.00,61000000.00,177.48,18752000.00,12752000.00
dig-17,Piana Degli Albanesi,2025-07-04,609.00,25000000.00,602.53,10718584.42,8718584.42
dig-12,Leone,2025-07-04,828.00,4150000.00,826.25,3262500.00,2012500.00
dig-18,Poma,2025-07-04,195.60,72300000.00,181.84,25600000.00,17421553.86
dig-20,Prizzi,2025-07-04,638.00,9250000.00,632.39,3801671.54,2301671.54
dig-21,Ragoleto,2025-07-04,326.00,17160198.00,316.11,8445304.00,4944016.00
dig-22,Rosamarina,2025-07-04,164.00,73034250.00,145.71,22474793.15,13539290.90
dig-25,Santa Rosalia,2025-07-04,378.05,20000000.00,370.55,12403062.50,7345174.00
dig-26,Scanzano,2025-07-04,517.00,7312775.00,515.95,6364081.00,5299013.29
