"data";"diga_id";"diga_nome";"invaso_capacita_mln_m3"
"2006-12-31";"1";"ANCIPA";"2.65"
"2007-01-31";"1";"ANCIPA";"5.20"
"2007-02-28";"1";"ANCIPA";"9.38"
"2007-04-01";"1";"ANCIPA";"13.51"
"2007-05-01";"1";"ANCIPA";"13.15"
"2007-06-01";"1";"ANCIPA";"11.91"
"2007-07-01";"1";"ANCIPA";"10.75"
"2007-08-01";"1";"ANCIPA";"8.87"
"2007-09-01";"1";"ANCIPA";"7.01"
"2007-10-01";"1";"ANCIPA";"5.41"
"2007-10-31";"1";"ANCIPA";"4.42"
"2007-11-30";"1";"ANCIPA";"5.55"
"2007-12-31";"1";"ANCIPA";"8.97"
"2008-01-31";"1";"ANCIPA";"9.27"
"2008-02-29";"1";"ANCIPA";"9.37"
"2008-04-01";"1";"ANCIPA";"12.06"
"2008-05-01";"1";"ANCIPA";"12.60"
"2008-06-01";"1";"ANCIPA";"11.30"
"2008-07-01";"1";"ANCIPA";"9.40"
"2008-08-01";"1";"ANCIPA";"7.40"
"2008-09-01";"1";"ANCIPA";"5.33"
"2008-10-01";"1";"ANCIPA";"3.63"
"2008-10-31";"1";"ANCIPA";"1.98"
"2008-11-30";"1";"ANCIPA";"1.00"
"2008-12-31";"1";"ANCIPA";"8.93"
"2009-01-31";"1";"ANCIPA";"9.27"
"2009-02-28";"1";"ANCIPA";"9.13"
"2009-04-01";"1";"ANCIPA";"10.79"
"2009-05-01";"1";"ANCIPA";"12.80"
"2009-06-01";"1";"ANCIPA";"12.44"
"2009-07-01";"1";"ANCIPA";"10.62"
"2009-08-01";"1";"ANCIPA";"8.38"
"2009-09-01";"1";"ANCIPA";"6.29"
"2009-10-01";"1";"ANCIPA";"4.97"
"2009-10-31";"1";"ANCIPA";"8.96"
"2009-11-30";"1";"ANCIPA";"8.55"
"2009-12-31";"1";"ANCIPA";"8.97"
"2010-01-31";"1";"ANCIPA";"8.82"
"2010-02-28";"1";"ANCIPA";"8.94"
"2010-04-01";"1";"ANCIPA";"9.19"
"2010-05-01";"1";"ANCIPA";"9.03"
"2010-06-01";"1";"ANCIPA";"7.58"
"2010-07-01";"1";"ANCIPA";"6.03"
"2010-08-01";"1";"ANCIPA";"4.21"
"2010-09-01";"1";"ANCIPA";"2.51"
"2010-10-01";"1";"ANCIPA";"1.42"
"2010-10-31";"1";"ANCIPA";"2.68"
"2010-11-30";"1";"ANCIPA";"2.43"
"2010-12-31";"1";"ANCIPA";"3.31"
"2011-01-31";"1";"ANCIPA";"3.45"
"2011-02-28";"1";"ANCIPA";"15.78"
"2011-04-01";"1";"ANCIPA";"15.39"
"2011-05-01";"1";"ANCIPA";"17.85"
"2011-06-01";"1";"ANCIPA";"18.54"
"2011-07-01";"1";"ANCIPA";"17.00"
"2011-08-01";"1";"ANCIPA";"14.70"
"2011-09-01";"1";"ANCIPA";"12.35"
"2011-10-01";"1";"ANCIPA";"10.19"
"2011-10-31";"1";"ANCIPA";"8.45"
"2011-11-30";"1";"ANCIPA";"6.80"
"2011-12-31";"1";"ANCIPA";"6.86"
"2012-01-31";"1";"ANCIPA";"12.33"
"2012-02-29";"1";"ANCIPA";"21.08"
"2012-04-01";"1";"ANCIPA";"23.04"
"2012-05-01";"1";"ANCIPA";"23.76"
"2012-06-01";"1";"ANCIPA";"23.36"
"2012-07-01";"1";"ANCIPA";"16.65"
"2012-08-01";"1";"ANCIPA";"9.45"
"2012-09-01";"1";"ANCIPA";"6.89"
"2012-10-01";"1";"ANCIPA";"4.67"
"2012-10-31";"1";"ANCIPA";"1.16"
"2012-11-30";"1";"ANCIPA";"0.20"
"2012-12-31";"1";"ANCIPA";"5.83"
"2013-01-31";"1";"ANCIPA";"16.03"
"2013-02-28";"1";"ANCIPA";"23.85"
"2013-04-01";"1";"ANCIPA";"24.61"
"2013-05-01";"1";"ANCIPA";"25.60"
"2013-06-01";"1";"ANCIPA";"23.42"
"2013-07-01";"1";"ANCIPA";"18.94"
"2013-08-01";"1";"ANCIPA";"11.45"
"2013-09-01";"1";"ANCIPA";"9.17"
"2013-10-01";"1";"ANCIPA";"7.04"
"2013-10-31";"1";"ANCIPA";"5.14"
"2013-11-30";"1";"ANCIPA";"3.59"
"2013-12-31";"1";"ANCIPA";"7.39"
"2014-01-31";"1";"ANCIPA";"8.61"
"2014-02-28";"1";"ANCIPA";"13.71"
"2014-04-01";"1";"ANCIPA";"22.25"
"2014-05-01";"1";"ANCIPA";"26.68"
"2014-06-01";"1";"ANCIPA";"26.01"
"2014-07-01";"1";"ANCIPA";"22.91"
"2014-08-01";"1";"ANCIPA";"14.24"
"2014-09-01";"1";"ANCIPA";"9.91"
"2014-10-01";"1";"ANCIPA";"7.79"
"2014-10-31";"1";"ANCIPA";"5.95"
"2014-11-30";"1";"ANCIPA";"6.21"
"2014-12-31";"1";"ANCIPA";"7.07"
"2015-01-31";"1";"ANCIPA";"19.11"
"2015-02-28";"1";"ANCIPA";"26.15"
"2015-04-01";"1";"ANCIPA";"26.41"
"2015-05-01";"1";"ANCIPA";"21.00"
"2015-06-01";"1";"ANCIPA";"20.49"
"2015-07-01";"1";"ANCIPA";"13.30"
"2015-08-01";"1";"ANCIPA";"11.43"
"2015-09-01";"1";"ANCIPA";"9.18"
"2015-10-01";"1";"ANCIPA";"7.41"
"2015-10-31";"1";"ANCIPA";"7.74"
"2015-11-30";"1";"ANCIPA";"12.48"
"2015-12-31";"1";"ANCIPA";"13.99"
"2016-01-31";"1";"ANCIPA";"17.38"
"2016-02-29";"1";"ANCIPA";"16.93"
"2016-04-01";"1";"ANCIPA";"25.49"
"2016-05-01";"1";"ANCIPA";"25.60"
"2016-06-01";"1";"ANCIPA";"25.36"
"2016-07-01";"1";"ANCIPA";"19.40"
"2016-08-01";"1";"ANCIPA";"11.23"
"2016-09-01";"1";"ANCIPA";"8.87"
"2016-10-01";"1";"ANCIPA";"6.79"
"2016-10-31";"1";"ANCIPA";"4.83"
"2016-11-30";"1";"ANCIPA";"3.53"
"2016-12-31";"1";"ANCIPA";"2.96"
"2017-01-31";"1";"ANCIPA";"8.74"
"2017-02-28";"1";"ANCIPA";"16.06"
"2017-04-01";"1";"ANCIPA";"23.03"
"2017-05-01";"1";"ANCIPA";"24.48"
"2017-06-01";"1";"ANCIPA";"19.47"
"2017-07-01";"1";"ANCIPA";"16.79"
"2017-08-01";"1";"ANCIPA";"14.63"
"2017-09-01";"1";"ANCIPA";"12.31"
"2017-10-01";"1";"ANCIPA";"9.85"
"2017-10-31";"1";"ANCIPA";"8.39"
"2017-11-30";"1";"ANCIPA";"6.98"
"2017-12-31";"1";"ANCIPA";"6.82"
"2018-01-31";"1";"ANCIPA";"9.39"
"2018-02-28";"1";"ANCIPA";"18.10"
"2018-04-01";"1";"ANCIPA";"22.75"
"2018-05-01";"1";"ANCIPA";"22.77"
"2018-06-01";"1";"ANCIPA";"22.38"
"2018-07-01";"1";"ANCIPA";"23.97"
"2018-08-01";"1";"ANCIPA";"15.88"
"2018-09-01";"1";"ANCIPA";"12.87"
"2018-10-01";"1";"ANCIPA";"10.96"
"2018-10-31";"1";"ANCIPA";"9.27"
"2018-11-30";"1";"ANCIPA";"13.20"
"2018-12-31";"1";"ANCIPA";"20.16"
"2019-01-31";"1";"ANCIPA";"23.79"
"2019-02-28";"1";"ANCIPA";"22.29"
"2019-04-01";"1";"ANCIPA";"19.19"
"2019-05-01";"1";"ANCIPA";"16.46"
"2019-06-01";"1";"ANCIPA";"17.18"
"2019-07-01";"1";"ANCIPA";"15.20"
"2019-08-01";"1";"ANCIPA";"13.07"
"2019-09-01";"1";"ANCIPA";"10.81"
"2019-10-01";"1";"ANCIPA";"8.86"
"2019-10-31";"1";"ANCIPA";"6.91"
"2019-11-30";"1";"ANCIPA";"9.83"
"2019-12-31";"1";"ANCIPA";"15.71"
"2020-01-31";"1";"ANCIPA";"15.73"
"2020-02-29";"1";"ANCIPA";"15.67"
"2020-04-01";"1";"ANCIPA";"20.81"
"2020-05-01";"1";"ANCIPA";"22.01"
"2020-06-01";"1";"ANCIPA";"20.55"
"2020-07-01";"1";"ANCIPA";"18.83"
"2020-08-01";"1";"ANCIPA";"15.86"
"2020-09-01";"1";"ANCIPA";"12.26"
"2020-10-01";"1";"ANCIPA";"10.26"
"2020-10-31";"1";"ANCIPA";"8.18"
"2020-11-30";"1";"ANCIPA";"6.44"
"2020-12-31";"1";"ANCIPA";"5.92"
"2021-01-31";"1";"ANCIPA";"7.90"
"2021-02-28";"1";"ANCIPA";"12.29"
"2021-04-01";"1";"ANCIPA";"19.31"
"2021-05-01";"1";"ANCIPA";"21.93"
"2006-12-31";"2";"ARANCIO";"16.24"
"2007-01-31";"2";"ARANCIO";"16.64"
"2007-02-28";"2";"ARANCIO";"17.18"
"2007-04-01";"2";"ARANCIO";"19.33"
"2007-05-01";"2";"ARANCIO";"20.83"
"2007-06-01";"2";"ARANCIO";"20.20"
"2007-07-01";"2";"ARANCIO";"18.69"
"2007-08-01";"2";"ARANCIO";"15.67"
"2007-09-01";"2";"ARANCIO";"14.34"
"2007-10-01";"2";"ARANCIO";"13.84"
"2007-10-31";"2";"ARANCIO";"13.96"
"2007-11-30";"2";"ARANCIO";"14.44"
"2007-12-31";"2";"ARANCIO";"16.31"
"2008-01-31";"2";"ARANCIO";"17.43"
"2008-02-29";"2";"ARANCIO";"17.79"
"2008-04-01";"2";"ARANCIO";"19.91"
"2008-05-01";"2";"ARANCIO";"20.50"
"2008-06-01";"2";"ARANCIO";"20.10"
"2008-07-01";"2";"ARANCIO";"18.76"
"2008-08-01";"2";"ARANCIO";"16.03"
"2008-09-01";"2";"ARANCIO";"14.38"
"2008-10-01";"2";"ARANCIO";"13.67"
"2008-10-31";"2";"ARANCIO";"13.44"
"2008-11-30";"2";"ARANCIO";"12.79"
"2008-12-31";"2";"ARANCIO";"12.96"
"2009-01-31";"2";"ARANCIO";"19.04"
"2009-02-28";"2";"ARANCIO";"24.24"
"2009-04-01";"2";"ARANCIO";"27.46"
"2009-05-01";"2";"ARANCIO";"27.46"
"2009-06-01";"2";"ARANCIO";"27.58"
"2009-07-01";"2";"ARANCIO";"25.70"
"2009-08-01";"2";"ARANCIO";"21.90"
"2009-09-01";"2";"ARANCIO";"20.45"
"2009-10-01";"2";"ARANCIO";"20.53"
"2009-10-31";"2";"ARANCIO";"22.63"
"2009-11-30";"2";"ARANCIO";"23.63"
"2009-12-31";"2";"ARANCIO";"27.04"
"2010-01-31";"2";"ARANCIO";"27.03"
"2010-02-28";"2";"ARANCIO";"25.70"
"2010-04-01";"2";"ARANCIO";"27.34"
"2010-05-01";"2";"ARANCIO";"28.30"
"2010-06-01";"2";"ARANCIO";"27.97"
"2010-07-01";"2";"ARANCIO";"27.22"
"2010-08-01";"2";"ARANCIO";"25.99"
"2010-09-01";"2";"ARANCIO";"21.77"
"2010-10-01";"2";"ARANCIO";"24.01"
"2010-10-31";"2";"ARANCIO";"24.43"
"2010-11-30";"2";"ARANCIO";"24.68"
"2010-12-31";"2";"ARANCIO";"25.05"
"2011-01-31";"2";"ARANCIO";"25.78"
"2011-02-28";"2";"ARANCIO";"28.12"
"2011-04-01";"2";"ARANCIO";"27.04"
"2011-05-01";"2";"ARANCIO";"27.70"
"2011-06-01";"2";"ARANCIO";"27.37"
"2011-07-01";"2";"ARANCIO";"28.03"
"2011-08-01";"2";"ARANCIO";"27.22"
"2011-09-01";"2";"ARANCIO";"26.45"
"2011-10-01";"2";"ARANCIO";"25.56"
"2011-10-31";"2";"ARANCIO";"23.52"
"2011-11-30";"2";"ARANCIO";"22.82"
"2011-12-31";"2";"ARANCIO";"23.36"
"2012-01-31";"2";"ARANCIO";"23.93"
"2012-02-29";"2";"ARANCIO";"27.40"
"2012-04-01";"2";"ARANCIO";"28.18"
"2012-05-01";"2";"ARANCIO";"28.49"
"2012-06-01";"2";"ARANCIO";"27.52"
